Product_name,Price,Rating,Specifications
"Apple iPhone SE (Space Grey, 32 GB)","₹18,999","44,539 Ratings & 6,524 Reviews",32 GB ROM |10.16 cm (4 inch) Retina Display12MP Rear Camera | 1.2MP Front CameraLi-Ion BatteryApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone SE (Rose Gold, 32 GB)","₹18,999","44,539 Ratings & 6,524 Reviews",32 GB ROM |10.16 cm (4 inch) Retina Display12MP Rear Camera | 1.2MP Front CameraLi-Ion BatteryApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone 6 (Space Grey, 32 GB)","₹24,999","49,582 Ratings & 5,789 Reviews",32 GB ROM |11.94 cm (4.7 inch) Retina HD Display8MP Rear Camera | 1.2MP Front CameraLi-Ion BatteryApple A8 64-bit processor and M8 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone 6s Plus (Rose Gold, 32 GB)","₹38,999","1,747 Ratings & 276 Reviews",32 GB ROM |13.97 cm (5.5 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraLi-Ion BatteryApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone 6s (Rose Gold, 32 GB)","₹32,999","8,059 Ratings & 932 Reviews",32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraLi-Ion BatteryApple A9 64-bit processor and M9 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone SE (Silver, 32 GB)","₹18,999","3,667 Ratings & 488 Reviews",32 GB ROM |10.16 cm (4 inch) Retina Display12MP Rear Camera | 1.2MP Front CameraLi-Ion BatteryApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone 6 (Gold, 32 GB)","₹25,999","49,582 Ratings & 5,789 Reviews",32 GB ROM |11.94 cm (4.7 inch) Retina HD Display8MP Rear Camera | 1.2MP Front CameraLi-Ion BatteryA8 Chip with 64-bit Architecture and M8 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone SE (Gold, 32 GB)","₹18,999","44,539 Ratings & 6,524 Reviews",32 GB ROM |10.16 cm (4 inch) Retina Display12MP Rear Camera | 1.2MP Front CameraLi-Ion BatteryApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
"Apple iPhone XS Max (Gold, 64 GB)","₹1,09,900",97 Ratings & 22 Reviews,64 GB ROM |16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraLithium-ion BatteryA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories
"Apple iPhone XS Max (Gold, 256 GB)","₹1,24,900",97 Ratings & 22 Reviews,256 GB ROM |16.51 cm (6.5 inch) Super Retina HD Display12MP + 12MP | 7MP Front CameraLithium-ion BatteryA12 Bionic Chip Processor1 Year Limited Warranty for Products and Accessories
"Apple iPhone 6s (Gold, 32 GB)","₹32,999","8,472 Ratings & 1,053 Reviews",32 GB ROM |11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 5MP Front CameraLi-Ion BatteryApple A9 64-bit processor and Embedded M9 Motion Co-processorBrand Warranty of 1 Year
